time,opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,money,trueAfter,predictionBefore,action,correct,diff
<module 'time' (built-in)>,-0.5904567672130361,-0.6034361594669161,-0.5781725255458355,-0.5904329799033597,-0.5698800433243855,-0.5744835561134608,-1.0358892739402743,-0.5536404256110051,-0.5491329852188849,1.1781319341360437,0.1987810271480053,0.0,-0.5904329799033597,-0.5990349054336548,DONT BUY,[0],-0.00860192553029504
<module 'time' (built-in)>,-0.5882380243849018,-0.5904167604526945,-0.5781725255458355,-0.5813790352019782,-0.4388383742740837,-0.4490693761436753,-0.6996801365358456,-0.4263991486914645,-0.42917993984377,0.9989908792568974,0.121995273121621,0.0,-0.5813790352019782,-0.5906314253807068,DONT BUY,[0],-0.009252390178728587
<module 'time' (built-in)>,-0.5832995322835695,-0.5962826435250359,-0.574055845665062,-0.5863175504936401,-0.5554969336079981,-0.5607238733476737,-0.9398295203961518,-0.5536404256110051,-0.5491329852188849,0.3571753326724654,0.1218278522085267,0.0,-0.5863175504936401,-0.5828292369842529,DONT BUY,[1],0.0034883135093871642
<module 'time' (built-in)>,-0.5775737443399965,-0.5273227498453114,-0.5652855276581977,-0.5142796426522067,0.0136999091858283,-0.0137131449401054,0.1408427069752258,0.2685916367928113,0.228981490310138,0.3953101523640219,0.080442419884114,0.0,-0.5142796426522067,-0.5758925676345825,BUY,[1],-0.061612924982375805
<module 'time' (built-in)>,-0.5221767459859246,-0.5176297357440635,-0.5209327765949103,-0.5048320481811978,0.3623910478354691,0.3239505314941455,-0.1953664304292027,0.096545005898223,0.0678097590090527,-1.1859553579054676,0.1644636299938235,20.129999999999654,-0.5048320481811978,-0.5680864453315735,DONT BUY,[0],-0.06325439715037573
<module 'time' (built-in)>,-0.5194569967127265,-0.5176297357440635,-0.5108737587992819,-0.5231546556401232,-0.0236163587456675,-0.0476386683467175,-0.5315755678336314,0.291762086236065,0.2537887543673005,-1.3089105200017406,0.1036344804191894,20.129999999999654,-0.5231546556401232,-0.559458315372467,DONT BUY,[1],-0.03630365973234384
<module 'time' (built-in)>,-0.5202442925549687,-0.5330455625988152,-0.5144176832183815,-0.5239777415220671,-0.313014813214274,-0.3270392532673498,-0.795739890079968,-0.2371456680137144,-0.2489368642818651,-1.212845473776878,0.0804337421245434,20.129999999999654,-0.5239777415220671,-0.5507693886756897,DONT BUY,[1],-0.02679164715362259
<module 'time' (built-in)>,-0.534916624160375,-0.5460649616130367,-0.5328532496409754,-0.5451274700537546,-0.4541429144489554,-0.4631518060976092,-0.7717249516939375,-0.371754887882625,-0.3768275558336962,-1.2886201999137956,0.0900864030979061,20.129999999999654,-0.5451274700537546,-0.5422658324241638,DONT BUY,[1],0.0028616376295907964
<module 'time' (built-in)>,-0.5451514701095128,-0.546994918685482,-0.5376142794161303,-0.5343915672457912,-0.2501643281306314,-0.2672515179940327,-0.5796054446056925,-0.3671737645747809,-0.3725472812483994,-1.189921809025602,0.077805727523559,20.129999999999654,-0.5343915672457912,-0.5346816182136536,BUY,[1],-0.0002900509678623875
<module 'time' (built-in)>,-0.5371353669885093,-0.550142465699908,-0.5435208201146314,-0.5464157783907106,-0.3329738097759663,-0.3468459907569487,-0.6276353213777538,-0.3142752142388589,-0.3225693261313562,-1.1473848390246122,0.1965179272986179,23.129999999999654,-0.5464157783907106,-0.527845025062561,BUY,[0],0.018570753328149614
<module 'time' (built-in)>,-0.5561020395515965,-0.5653436870764036,-0.5445589393889132,-0.5568296041144346,-0.5424296772216954,-0.54813453219979,-0.9158145820101212,-0.5125014280780347,-0.5102492227426302,-0.8305318959840045,0.2826877806013098,19.769999999999527,-0.5568296041144346,-0.522162675857544,BUY,[0],0.03466692825689066
<module 'time' (built-in)>,-0.5562809704248338,-0.5673109039604213,-0.5470647445337311,-0.5542887737832165,-0.304344838842431,-0.3196723858736373,-0.7717249516939375,-0.5043948685889752,-0.5025926610608534,-0.6625805496924875,0.2623758385443984,16.859999999999673,-0.5542887737832165,-0.5179309844970703,BUY,[1],0.03635778928614619
