time,opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,money,trueAfter,predictionBefore
1652560800000.0,-3.1672588191210185,-3.1813635188897145,-3.15147182436463,-3.16569472828714,3.655409221225538,2.8197208671235368,3.95879936947747,3.5230640211164888,2.6524851948994943,-3.2319444740585133,-0.11466475309508231,0.0,tensor(-3.1657),-1.2396020889282227
1652560860000.0,-3.166115087174991,-3.1827023066727897,-3.1568674737669444,-3.1705739592850626,7.713868462698742,6.072075503848323,7.575728486586951,5.633083116247305,4.297129187542902,-3.2319444740585133,-0.11466475309508231,0.3100000000001728,tensor(-3.1706),-1.3056371212005615
1652560920000.0,-3.1709950101447046,-3.187598444850896,-3.159527300937099,-3.172632384862312,6.029630152913861,4.7195231711488725,5.527908324694083,2.391369836728235,1.766156696797675,-3.2319444740585133,-0.11466475309508231,-0.9699999999997999,tensor(-3.1726),-1.4532349109649658
1652560980000.0,-3.1730156032493526,-3.1851503757618436,-3.158843345379059,-3.171107625175461,8.2929112295348,6.535534970477138,6.698091274347151,11.144682575714645,8.599762308956903,-3.2319444740585133,-0.11466475309508231,-1.509999999999991,tensor(-3.1711),-1.718428134918213
1652561040000.0,-3.1715287517195176,-3.187483691612347,-3.1640110095953595,-3.1780834007428025,17.368156629308135,13.803686920894199,12.28305535223679,5.73257668760061,4.3732377125471675,-3.2319444740585133,-0.11466475309508231,-1.1099999999999,tensor(-3.1781),-2.2329888343811035
1652561100000.0,-3.1784292677938786,-3.1950956564361213,-3.181641863980386,-3.1895190983941832,25.870892701426285,20.580456044378682,21.83068441872432,31.25760580149041,24.240603134344106,-3.2319444740585133,-0.11466475309508231,-2.939999999999827,tensor(-3.1895),-3.199889659881592
1652561160000.0,-3.1899047116523467,-3.1996092838190635,-3.1733963997529058,-3.1850210573179742,3.6367297584965943,2.796022252737897,4.517295777266434,3.4182713563185687,2.5623546836331497,-3.2319444740585133,-0.11466475309508231,-2.939999999999827,tensor(-3.1850),-4.11431884765625
1652561220000.0,-3.185406032664642,-3.197352470127593,-3.170052617024712,-3.1802943022887367,4.933288191721169,3.834742982045657,5.128982319130538,6.662305962229894,5.0919470681637,-3.2319444740585133,-0.11466475309508231,-2.939999999999827,tensor(-3.1803),-4.5995330810546875
1652561280000.0,-3.1807167316859326,-3.1938716218915952,-3.1653029256494354,-3.178807661594057,3.788151214283906,2.920479196440755,5.607693525806792,1.0384551498845993,0.7094096068660809,-3.2319444740585133,-0.11466475309508231,-2.939999999999827,tensor(-3.1788),-4.451223373413086
1652561340000.0,-3.1791917557578966,-3.185762393034107,-3.1627570910722866,-3.1712219821519745,8.166419731440811,6.432755763625919,7.6821087547372295,7.432434533758867,5.69962561696138,-3.2319444740585133,-0.11466475309508231,-2.939999999999827,tensor(-3.1712),-3.9312314987182617
1652561400000.0,-3.1710331345429066,-3.1869099254196005,-3.1679627528195904,-3.179684398413996,7.457464413711333,5.8612825669455875,6.485330738046593,4.36928262742111,3.306591014172587,-3.2319444740585133,-0.11466475309508231,-2.939999999999827,tensor(-3.1797),-3.6419601440429688
1652561460000.0,-3.180106741314718,-3.1957841758674177,-3.1805399355813218,-3.1787314236097144,32.63717953915585,25.99538650179442,17.336118089375038,25.162763572336164,19.490783951864135,-3.2319444740585133,-0.11466475309508231,-2.939999999999827,tensor(-3.1787),-3.0346076488494873
1652561520000.0,-3.179115506961495,-3.1906967822917296,-3.16606287626948,-3.1746526914473887,16.092649245790756,12.779659730281201,9.065052240690855,19.278286790663678,14.93854300715135,-3.2319444740585133,-0.11466475309508231,-2.689999999999827,tensor(-3.1747),-2.8952159881591797
1652561580000.0,-3.1750361963539997,-3.1916913103591575,-3.1686467083776293,-3.1847161053806032,11.255501798322904,8.900908674405434,6.0864047324830475,2.4838899152720186,1.8356685967889688,-3.2319444740585133,-0.11466475309508231,-1.6199999999998909,tensor(-3.1847),-3.6543326377868652
1652561640000.0,-3.1851010374790345,-3.196549197457747,-3.179589997306267,-3.1956943751259295,3.7630514900606853,2.8975266262728763,6.112999799520617,3.2678132542959526,2.4452634303944936,-3.2319444740585133,-0.11466475309508231,-1.6199999999998909,tensor(-3.1957),-3.74697208404541
1652561700000.0,-3.1960808641608915,-3.2011010759202057,-3.1795519997752644,-3.1848685813492885,9.240337077366231,7.275514011360311,5.368337922468665,12.809359007944378,9.872853971223055,-3.2319444740585133,-0.11466475309508231,-1.6199999999998909,tensor(-3.1849),-3.207859516143799
1652561760000.0,-3.1852154106736372,-3.196166686662582,-3.1746503182759795,-3.1907389061436646,13.75856523732227,10.901590497100976,7.65551368769966,12.942711598273243,9.989424328072124,-3.2319444740585133,-0.11466475309508231,-1.6199999999998909,tensor(-3.1907),-2.3993959426879883
1652561820000.0,-3.1911246923947756,-3.1981557427974376,-3.177044162729118,-3.1811329201165046,11.243865074364525,8.878405010463755,7.416158084361532,14.46029775447568,11.158175304688166,-3.2319444740585133,-0.11466475309508231,-3.160000000000082,tensor(-3.1811),-2.8344597816467285
1652561880000.0,-3.1814792196499497,-3.193221353539815,-3.166404854048499,-3.1762155701264105,5.524075715761902,4.310488748010692,6.166189933595756,4.716577791147673,3.5777778263429494,-3.2319444740585133,-0.11466475309508231,-0.6400000000001,tensor(-3.1762),-3.662050724029541
1652561940000.0,-3.176561172282035,-3.193221353539815,-3.169444656528676,-3.1850591763101455,6.029630152913861,4.7152440384173655,4.091774704665319,2.139753277620165,1.5675870778124548,-3.2319444740585133,-0.11466475309508231,-0.6400000000001,tensor(-3.1851),-3.2769832611083984
