time,opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,money,trueAfter,predictionBefore,action,correct,diff
[<module 'time' (built-in)>],-0.5817965129483812,-0.5889860572643182,-0.5740200484487082,-0.5759752974553024,0.0796984484389137,0.0472014243603895,-0.5315755678336314,0.6064856219339029,0.5442510373465035,0.3970820205562318,-0.0126801142331379,[0.0],[-0.5759752974553024],[-0.6912552118301392],['DONT BUY'],[1],[-0.11527991437483676]
[<module 'time' (built-in)>],-0.5818322991230294,-0.5925985828149685,-0.5782441199785446,-0.5905045525887461,-0.3559989111604683,-0.369943936393539,-0.7477100133079069,-0.5312766231782018,-0.5280551019355576,0.3419891854605164,0.1308769600421015,[0.0],[-0.5905045525887461],[-0.6854075789451599],['DONT BUY'],[1],[-0.09490302635641379]
[<module 'time' (built-in)>],-0.5897410437200901,-0.5980352549307973,-0.582074422128482,-0.5943336912569203,-0.3994560500506423,-0.411499639416487,-0.7477100133079069,-0.4707392228397012,-0.4710552077810113,0.8274458205721872,0.1817786030514568,[0.0],[-0.5943336912569203],[-0.6777557134628296],['DONT BUY'],[1],[-0.08342202220590933]
[<module 'time' (built-in)>],-0.5997969587959906,-0.6127714977710702,-0.6013333245272305,-0.6115469220923548,-0.1294862532825903,-0.1541902155949355,-0.6516502597637844,-0.4899821274263494,-0.4893324079888135,0.7409027223825978,0.2123913449517259,[0.0],[-0.6115469220923548],[-0.6687759757041931],['DONT BUY'],[1],[-0.057229053611838276]
[<module 'time' (built-in)>],-0.608886647156413,-0.6100173941334465,-0.5966080919684293,-0.5970176669589111,-0.4230647906843361,-0.4343182768952741,-0.795739890079968,-0.296762227337273,-0.3076339041216325,1.7186562318961285,0.3253940277789814,[0.0],[-0.5970176669589111],[-0.6592537760734558],['DONT BUY'],[0],[-0.06223610911454469]
[<module 'time' (built-in)>],-0.5985802288579807,-0.6069413822784375,-0.5862984936583184,-0.5939400414872945,-0.4519789186939607,-0.461836460134256,-0.9158145820101212,-0.3496960077384105,-0.3572442994065438,1.0028078944276464,0.1480656567363287,[0.0],[-0.5939400414872945],[-0.6491213440895081],['DONT BUY'],[0],[-0.055181302602213544]
[<module 'time' (built-in)>],-0.5987233735565699,-0.6091947398001302,-0.5898066208610644,-0.596301940105046,-0.5314997663963604,-0.5378238952279627,-0.86778470523806,-0.5406210942691423,-0.5368842837451394,1.3980932597594695,0.1228847434776047,[0.0],[-0.596301940105046],[-0.6386158466339111],['DONT BUY'],[1],[-0.04231390652886513]
[<module 'time' (built-in)>],-0.5923534344693455,-0.6053318411915151,-0.590271984673674,-0.6025287637336656,-0.5288913786559649,-0.5353250339201899,-0.8917996436240905,-0.5396054965270692,-0.5359227992398491,1.694963131673959,0.1602450419101709,[0.0],[-0.6025287637336656],[-0.628093957901001],['DONT BUY'],[1],[-0.02556519416733538]
[<module 'time' (built-in)>],-0.5989738767791019,-0.6119488434377539,-0.588159948908755,-0.6004173695147657,-0.5569946745123172,-0.5621781280922359,-0.987859397168213,-0.5401096509086007,-0.5364091074653611,1.7166293546926952,0.1343531508328373,[0.0],[-0.6004173695147657],[-0.6179744601249695],['DONT BUY'],[0],[-0.01755709061020383]
[<module 'time' (built-in)>],-0.5938564538045338,-0.6034361594669161,-0.5815732610995188,-0.5904329799033597,-0.2381737395830206,-0.2574257472167939,-0.795739890079968,0.0511832598587381,0.020167307221869,1.53873185236379,0.1136287159632351,[0.0],[-0.5904329799033597],[-0.6084177494049072],['DONT BUY'],[0],[-0.017984769501547482]
[<module 'time' (built-in)>],-0.5904567672130361,-0.6034361594669161,-0.5781725255458355,-0.5904329799033597,-0.5698800433243855,-0.5744835561134608,-1.0358892739402743,-0.5536404256110051,-0.5491329852188849,1.1781319341360437,0.1987810271480053,[0.0],[-0.5904329799033597],[-0.5993567705154419],['DONT BUY'],[0],[-0.00892379061208215]
[<module 'time' (built-in)>],-0.5882380243849018,-0.5904167604526945,-0.5781725255458355,-0.5813790352019782,-0.4388383742740837,-0.4490693761436753,-0.6996801365358456,-0.4263991486914645,-0.42917993984377,0.9989908792568974,0.121995273121621,[0.0],[-0.5813790352019782],[-0.5909702181816101],['DONT BUY'],[0],[-0.009591182979631907]
[<module 'time' (built-in)>],-0.5832995322835695,-0.5962826435250359,-0.574055845665062,-0.5863175504936401,-0.5554969336079981,-0.5607238733476737,-0.9398295203961518,-0.5536404256110051,-0.5491329852188849,0.3571753326724654,0.1218278522085267,[0.0],[-0.5863175504936401],[-0.5831740498542786],['DONT BUY'],[1],[0.0031435006393615295]
[<module 'time' (built-in)>],-0.5775737443399965,-0.5273227498453114,-0.5652855276581977,-0.5142796426522067,0.0136999091858283,-0.0137131449401054,0.1408427069752258,0.2685916367928113,0.228981490310138,0.3953101523640219,0.080442419884114,[0.0],[-0.5142796426522067],[-0.5762317776679993],['BUY'],[1],[-0.06195213501579255]
[<module 'time' (built-in)>],-0.5221767459859246,-0.5176297357440635,-0.5209327765949103,-0.5048320481811978,0.3623910478354691,0.3239505314941455,-0.1953664304292027,0.096545005898223,0.0678097590090527,-1.1859553579054676,0.1644636299938235,[0.07203790784143338],[-0.5048320481811978],[-0.5684227347373962],['DONT BUY'],[0],[-0.06359068655619848]
[<module 'time' (built-in)>],-0.5194569967127265,-0.5176297357440635,-0.5108737587992819,-0.5231546556401232,-0.0236163587456675,-0.0476386683467175,-0.5315755678336314,0.291762086236065,0.2537887543673005,-1.3089105200017406,0.1036344804191894,[0.07203790784143338],[-0.5231546556401232],[-0.5597956776618958],['DONT BUY'],[1],[-0.03664102202177255]
[<module 'time' (built-in)>],-0.5202442925549687,-0.5330455625988152,-0.5144176832183815,-0.5239777415220671,-0.313014813214274,-0.3270392532673498,-0.795739890079968,-0.2371456680137144,-0.2489368642818651,-1.212845473776878,0.0804337421245434,[0.07203790784143338],[-0.5239777415220671],[-0.5511041283607483],['DONT BUY'],[1],[-0.027126386838681182]
[<module 'time' (built-in)>],-0.534916624160375,-0.5460649616130367,-0.5328532496409754,-0.5451274700537546,-0.4541429144489554,-0.4631518060976092,-0.7717249516939375,-0.371754887882625,-0.3768275558336962,-1.2886201999137956,0.0900864030979061,[0.07203790784143338],[-0.5451274700537546],[-0.5425925254821777],['DONT BUY'],[1],[0.0025349445715768804]
[<module 'time' (built-in)>],-0.5451514701095128,-0.546994918685482,-0.5376142794161303,-0.5343915672457912,-0.2501643281306314,-0.2672515179940327,-0.5796054446056925,-0.3671737645747809,-0.3725472812483994,-1.189921809025602,0.077805727523559,[0.07203790784143338],[-0.5343915672457912],[-0.5349904298782349],['BUY'],[1],[-0.0005988626324436863]
[<module 'time' (built-in)>],-0.5371353669885093,-0.550142465699908,-0.5435208201146314,-0.5464157783907106,-0.3329738097759663,-0.3468459907569487,-0.6276353213777538,-0.3142752142388589,-0.3225693261313562,-1.1473848390246122,0.1965179272986179,[0.08277381064939682],[-0.5464157783907106],[-0.5281281471252441],['BUY'],[0],[0.01828763126546651]
[<module 'time' (built-in)>],-0.5561020395515965,-0.5653436870764036,-0.5445589393889132,-0.5568296041144346,-0.5424296772216954,-0.54813453219979,-0.9158145820101212,-0.5125014280780347,-0.5102492227426302,-0.8305318959840045,0.2826877806013098,[0.07074959950447735],[-0.5568296041144346],[-0.5224118828773499],['BUY'],[0],[0.03441772123708475]
[<module 'time' (built-in)>],-0.5562809704248338,-0.5673109039604213,-0.5470647445337311,-0.5542887737832165,-0.304344838842431,-0.3196723858736373,-0.7717249516939375,-0.5043948685889752,-0.5025926610608534,-0.6625805496924875,0.2623758385443984,[0.06033577378075339],[-0.5542887737832165],[-0.5181388258934021],['BUY'],[1],[0.036149947889814404]
[<module 'time' (built-in)>],-0.5489448046221299,-0.5552214620186433,-0.5376500766324857,-0.5477756594130514,-0.4739233547106666,-0.4822757492980903,-0.8437697668520293,-0.3844279927215084,-0.3890076361229562,-0.8230982648893989,0.3010578495294892,[0.06287660411197149],[-0.5477756594130514],[-0.5152090787887573],['BUY'],[1],[0.03256658062429407]
[<module 'time' (built-in)>],-0.5545274478671137,-0.5507505145549682,-0.5422321203258671,-0.5450201110256743,-0.4111328325635848,-0.4218672485646241,-0.7477100133079069,-0.2957709261919003,-0.3049975894681561,-0.8763952604427185,0.2125517338872373,[0.0693897184821366],[-0.5450201110256743],[-0.5133975148200989],['BUY'],[1],[0.03162259620557539]
[<module 'time' (built-in)>],-0.550054176036197,-0.5597639446417372,-0.5473869194809226,-0.5551476460078528,-0.3172635203970331,-0.3319122955676261,-0.675665198149815,-0.2842847101018272,-0.2943675052082813,-0.7874978761815611,0.2079974062781301,[0.07214526686951372],[-0.5551476460078528],[-0.5125688314437866],['BUY'],[0],[0.0425788145640662]
[<module 'time' (built-in)>],-0.5515571953713853,-0.5600143176997036,-0.5392609513684398,-0.5469883598738015,-0.5473179890611032,-0.5528147259620445,-0.9398295203961518,-0.5125014280780347,-0.5102250290168954,-0.5825355734571623,0.2647258656060358,[0.06201773188733517],[-0.5469883598738015],[-0.5129030346870422],['BUY'],[1],[0.03408532518675922]
