opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,labels
-0.6473224696676421,-0.6526920414874468,-0.6523618674233873,-0.6642680655495519,-0.3248739876805348,-0.36929948780006494,-0.2986274517515108,-0.4002402866608849,-0.4318249888307365,-0.7697061059865,-0.8732300347560396,0
-0.6555844886219327,-0.6608935903497264,-0.6679644225387917,-0.6761763832508861,-0.0787571816451843,-0.14529703573637176,-0.1984319055914362,-0.3376365450179404,-0.3752431811445663,-0.6609737510640299,-0.9666047952891522,0
-0.6802474614035502,-0.6832865833107814,-0.6841374268036723,-0.6959774231496169,0.15381817421578564,0.0656287109973163,-0.02935192144631032,-0.25890236324281035,-0.30400501999921925,-0.80245679278752,-0.8907957663288901,1
-0.6967253427816612,-0.6754997195033361,-0.6847078759531491,-0.6637449611544025,-0.1426401411002469,-0.2042047196672168,-0.2986274517515108,-0.2123479105613543,-0.261595684505185,-0.37334015859070535,-0.5125821933644639,0
-0.6666312849146351,-0.6782028517126271,-0.6694136717293532,-0.6812843438152832,-0.4666965627604902,-0.5001295257942805,-0.5428540955166926,-0.35975133567030637,-0.3954994265064672,-0.7808121193435253,-0.8314783264825758,0
-0.6840476824123205,-0.6897679571307848,-0.7424003277731531,-0.7511187805676836,1.694849396077302,1.452984193148669,1.4422701627797851,1.4783424200900055,1.2576428073650259,-0.42760108496865673,-0.7284113692904016,1
-0.747866778543417,-0.7375949667883467,-0.7406273101464025,-0.7274713848222686,0.4184953159907568,0.297399052672349,0.20861250068386683,0.838156552931613,0.6791133461444185,0.6842638691282833,-0.04848695387852242,1
-0.7292041547230167,-0.7262602419562082,-0.7219258285703294,-0.7227788306893134,0.4065921095719686,0.28731002972212477,-0.19216968395643153,-0.1120227652852491,-0.1738945062043453,0.10381553171661317,-1.079769551739463,1
-0.7208959792382554,-0.724924034557297,-0.7171926423841343,-0.717301619963635,-0.41620577890319455,-0.45541355900828717,-0.47396965753164133,-0.39565597660813406,-0.4295237722916941,0.27269106410502014,-1.2704877990779757,1
-0.7143879084418586,-0.7070157836707469,-0.7045194207390135,-0.6953158499439874,0.2761901328255576,0.1738825217050751,-0.37377411137156674,0.257281225178287,0.1610364885407677,0.29357401928745197,-1.6206486505639424,1
-0.6961714644160102,-0.6829794091960889,-0.6841528443482531,-0.6746532263355995,-0.2845732310465102,-0.3340249386315705,-0.28610300848150144,-0.12311671519282714,-0.18079028596962435,0.2025690669470203,-1.4408991234574233,0
-0.6762779997830529,-0.6878327602082248,-0.682426079355244,-0.682745959037023,-0.5213016401748118,-0.5501815516613415,-0.5052807657066646,-0.4930095999626371,-0.5168849823483797,-0.0030400392078032564,-1.5758016086715063,1
-0.6786473683472257,-0.6651940279554156,-0.6724663455562802,-0.6534213420619017,0.4400228566300964,0.3296735359718925,0.10215473288878758,1.1304122589139578,0.9618457765954316,0.6248186722588892,-1.4507288937951228,0
-0.6541690216874918,-0.6657623000675958,-0.6698916156113467,-0.6685913695212249,-0.374330185424283,-0.4156428266687171,-0.31115189502152013,-0.3640220074146879,-0.39939292134524446,0.32550389762774523,-0.7555560946031326,0
