opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,labels
3135.65000000,3143.17000000,3134.06000000,3142.47000000,7.98264000,25048.99050310,13,7.11293000,22318.63821150,50.656305100241696,-324.77936000000005,0
3141.60000000,3144.71000000,3135.90000000,3140.18000000,9.04103000,28398.42790320,44,2.08460000,6547.39579940,58.94376899696064,-266.28826000000004,1
3139.42000000,3149.13000000,3139.42000000,3149.13000000,5.35312000,16849.92489690,20,4.51402000,14209.96650250,59.89200539973004,-49.944400000000016,0
3149.09000000,3149.09000000,3144.88000000,3146.09000000,0.31035000,976.54360340,6,0.31035000,976.54360340,54.213421342134126,-178.31278,0
3137.22000000,3144.54000000,3130.53000000,3144.54000000,8.32461000,26123.45490960,31,5.13338000,16119.82969130,46.153182680696894,-239.30999,1
3144.54000000,3162.90000000,3142.71000000,3159.66000000,25.31807000,79875.87191640,73,20.71304000,65350.31657540,53.27527818093852,29.217110000000012,0
3158.52000000,3159.53000000,3123.43000000,3133.13000000,59.78025000,187604.44214950,182,27.07448000,84917.72248650,41.48209671465489,-35.948519999999995,1
3133.21000000,3145.61000000,3126.27000000,3145.56000000,2.63774000,8279.97183390,21,2.05463000,6446.50802420,55.33792676318028,102.72640999999999,0
3143.89000000,3152.65000000,3141.76000000,3145.13000000,20.86920000,65714.64002840,61,3.30953000,10413.27839530,52.17518248175183,27.13422,0
3140.68000000,3142.49000000,3122.61000000,3128.61000000,33.05918000,103514.67591820,121,18.77884000,58846.09778500,47.4915851899342,33.62048,1
3132.05000000,3134.94000000,3131.79000000,3134.51000000,2.17854000,6827.74492400,10,1.15852000,3630.21542520,58.58070500927639,71.16373999999999,1
3133.63000000,3152.65000000,3131.79000000,3150.26000000,4.86557000,15318.11764760,38,2.33756000,7360.52184750,54.51903960850273,-14.165720000000007,1
3155.20000000,3156.70000000,3145.97000000,3154.00000000,7.32210000,23062.34592300,20,1.04340000,3290.53437910,45.29522978475856,-20.36685,0
3148.85000000,3158.27000000,3139.30000000,3148.68000000,12.12532000,38196.11811780,64,6.16956000,19438.41961570,40.597261922671855,-33.84657999999999,0
3144.52000000,3152.51000000,3135.07000000,3140.54000000,27.91897000,87754.29265040,92,10.97614000,34523.07627260,41.3516524322317,-45.13633,0
3145.60000000,3146.49000000,3133.14000000,3139.69000000,4.69041000,14712.19697590,28,0.81848000,2568.88093150,50.76763980590241,-7.411669999999994,0
3140.31000000,3142.11000000,3126.15000000,3127.69000000,15.14681000,47454.34426700,52,6.58765000,20674.99043810,50.197151363965475,-10.703899999999994,1
3127.27000000,3135.54000000,3127.27000000,3135.54000000,2.73464000,8557.75522300,12,1.58863000,4971.32003460,58.419729814640355,13.483940000000015,0
3131.34000000,3131.34000000,3110.54000000,3123.77000000,57.98299000,180916.46772200,197,35.05726000,109420.87790420,53.992280329978136,-19.42816,0
3123.98000000,3127.59000000,3119.11000000,3122.84000000,3.72397000,11630.16784240,18,0.31342000,978.86109620,57.29539866526172,38.24447999999999,0
3122.08000000,3127.59000000,3091.09000000,3100.30000000,77.76149000,241583.79017440,217,26.80154000,83190.44352410,64.36485642946317,50.29306,1
3099.21000000,3104.02000000,3083.33000000,3102.59000000,38.55751000,119145.22339960,203,14.84454000,45895.55353160,63.21977933478302,102.73648000000003,0
3096.04000000,3107.66000000,3092.57000000,3092.57000000,11.95532000,36997.63058480,39,1.58829000,4919.52044690,68.84153292993075,45.55126000000001,1
3092.38000000,3096.54000000,3084.79000000,3094.26000000,16.05553000,49624.58604490,46,7.61600000,23541.54973960,71.25869600388295,54.86884000000001,1
3094.73000000,3100.97000000,3090.71000000,3100.97000000,13.18939000,40854.61638150,35,11.79750000,36546.20092150,65.7872966265282,26.14453000000001,1
3102.00000000,3111.24000000,3096.93000000,3103.67000000,7.29708000,22658.83553700,36,3.40410000,10572.69670890,65.30109489051128,40.28204000000001,1
3103.82000000,3105.02000000,3090.98000000,3103.83000000,23.42404000,72565.03476940,66,7.78310000,24107.59096370,74.1273951320562,23.37888000000001,0
3102.46000000,3110.25000000,3095.16000000,3095.85000000,25.22340000,78222.51027040,65,14.66898000,45535.57037260,76.98182209314855,37.07433,0
3094.11000000,3094.11000000,3071.32000000,3073.77000000,110.61002000,340756.66553310,187,15.63559000,48167.00019740,77.6220851197325,54.97563000000001,0
3075.92000000,3085.74000000,3058.29000000,3061.47000000,15.96583000,49007.53358570,124,11.06015000,33941.34752160,80.46910650725584,153.46033000000003,1
3061.80000000,3077.02000000,3061.45000000,3077.02000000,18.32230000,56221.80935900,70,9.34805000,28677.02121870,82.31697240125622,141.50719000000004,1
3079.97000000,3082.52000000,3075.22000000,3082.52000000,2.87291000,8852.98295080,25,2.08250000,6419.11400720,70.3379625913142,123.20742000000003,0
3082.52000000,3089.26000000,3072.07000000,3078.14000000,25.26941000,77895.86102180,52,23.64057000,72887.84504650,71.69039437080677,104.58254000000001,0
3078.15000000,3078.30000000,3063.01000000,3071.58000000,24.03445000,73729.65501950,49,7.84289000,24101.09798220,69.86850126273629,127.11731,0
3061.69000000,3063.17000000,3038.80000000,3048.31000000,37.16097000,113462.02531090,214,19.81405000,60503.00615350,71.2767723725719,93.16877,1
3052.29000000,3066.89000000,3041.86000000,3065.56000000,12.00915000,36664.09571030,41,5.61865000,17119.67340930,71.44978958659965,126.60577000000002,1
3063.54000000,3075.02000000,3062.73000000,3071.82000000,13.03252000,39989.62009970,41,7.90943000,24257.13702180,63.59897172236511,142.05447,1
3072.68000000,3087.34000000,3067.64000000,3084.08000000,4.60078000,14177.61907310,27,1.35720000,4177.48266630,57.83669461439685,92.51118,1
3087.91000000,3094.84000000,3087.70000000,3089.59000000,7.38910000,22846.13716860,35,2.02703000,6269.75867020,53.56043648573038,83.00224000000001,0
3089.62000000,3089.62000000,3065.95000000,3069.19000000,2.84088000,8740.21415300,30,1.11600000,3435.36328390,54.01382618510143,97.24531000000002,0
3065.65000000,3075.27000000,3060.15000000,3060.62000000,13.60692000,41709.62604550,52,10.91322000,33459.38786590,60.81148877461429,113.27558000000002,1
3058.57000000,3109.09000000,3058.57000000,3101.22000000,97.92825000,303191.45025630,292,58.72145000,181804.70617390,62.87007803657587,134.17958,0
3106.68000000,3115.88000000,3093.83000000,3094.23000000,24.08415000,74826.66679650,82,11.30988000,35147.36849470,48.6607810863385,181.46995,1
3094.16000000,3113.87000000,3083.61000000,3108.48000000,91.45338000,283050.52011380,270,59.37302000,183567.44577140,44.48220064724919,180.3307,0
3105.01000000,3115.41000000,3088.94000000,3088.94000000,34.40157000,106664.45682880,126,10.96260000,34001.31839280,37.4539631705364,113.00576,1
3089.38000000,3102.06000000,3087.76000000,3102.06000000,20.24809000,62635.87130660,61,15.31908000,47387.62240880,46.88512595379951,163.37315999999998,1
3106.09000000,3112.82000000,3101.02000000,3109.30000000,44.16944000,137307.89275480,73,8.12618000,25240.72343700,45.08946521913954,133.14041,0
